subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS01,scrambled,32,layer_32,129.1549665014884,9.762431727722287e-05,"[-0.0011158608831465244, 0.0013111095177009702]"
UTS01,scrambled,32,layer_32,215.44346900318823,5.41435438208282e-05,"[-0.0011969738407060504, 0.0013052609283477068]"
UTS01,scrambled,32,layer_32,359.38136638046257,-8.941511623561382e-06,"[-0.001302162418141961, 0.0012842793948948383]"
UTS01,scrambled,32,layer_32,599.4842503189409,-0.00010399968596175313,"[-0.0014453581534326077, 0.0012373587815091014]"
UTS01,scrambled,32,layer_32,1000.0,-0.00024382962146773934,"[-0.0016337443375959992, 0.0011460850946605206]"
UTS01,taskvec_a0p25,16,layer_16,10.0,-0.004831438884139061,"[-0.004519616719335318, -0.005143261048942804]"
UTS01,taskvec_a0p25,16,layer_16,16.68100537200059,-0.0051485111471265554,"[-0.004347474314272404, -0.005949547979980707]"
UTS01,taskvec_a0p25,16,layer_16,27.825594022071243,-0.005217997124418616,"[-0.003939158283174038, -0.006496835965663195]"
UTS01,taskvec_a0p25,16,layer_16,46.41588833612777,-0.005139005137607455,"[-0.003451006021350622, -0.006827004253864288]"
UTS01,taskvec_a0p25,16,layer_16,77.4263682681127,-0.005026680650189519,"[-0.003035211004316807, -0.007018150296062231]"
UTS01,taskvec_a0p25,16,layer_16,129.1549665014884,-0.004936433047987521,"[-0.002743931720033288, -0.007128934375941753]"
UTS01,taskvec_a0p25,16,layer_16,215.44346900318823,-0.004879062995314598,"[-0.0025659403763711452, -0.007192185614258051]"
UTS01,taskvec_a0p25,16,layer_16,359.38136638046257,-0.004847416887059808,"[-0.002473314292728901, -0.007221519481390715]"
UTS01,taskvec_a0p25,16,layer_16,599.4842503189409,-0.0048285675002262,"[-0.0024418754037469625, -0.007215259596705437]"
UTS01,taskvec_a0p25,16,layer_16,1000.0,-0.004805897478945553,"[-0.0024537339340895414, -0.007158061023801565]"
UTS01,taskvec_a0p25,24,layer_24,10.0,-0.006812200648710132,"[-0.008794846013188362, -0.004829555284231901]"
UTS01,taskvec_a0p25,24,layer_24,16.68100537200059,-0.007096647284924984,"[-0.00860830768942833, -0.0055849868804216385]"
UTS01,taskvec_a0p25,24,layer_24,27.825594022071243,-0.00715271825902164,"[-0.008187930099666119, -0.006117506418377161]"
UTS01,taskvec_a0p25,24,layer_24,46.41588833612777,-0.007096324348822236,"[-0.007728465832769871, -0.006464182864874601]"
UTS01,taskvec_a0p25,24,layer_24,77.4263682681127,-0.007019083714112639,"[-0.007356457412242889, -0.0066817100159823895]"
UTS01,taskvec_a0p25,24,layer_24,129.1549665014884,-0.006963005987927318,"[-0.007105048280209303, -0.006820963695645332]"
UTS01,taskvec_a0p25,24,layer_24,215.44346900318823,-0.006938647944480181,"[-0.006959578488022089, -0.0069177174009382725]"
UTS01,taskvec_a0p25,24,layer_24,359.38136638046257,-0.006944057997316122,"[-0.00689599197357893, -0.006992124021053314]"
UTS01,taskvec_a0p25,24,layer_24,599.4842503189409,-0.006973238196223974,"[-0.006895258091390133, -0.0070512183010578156]"
UTS01,taskvec_a0p25,24,layer_24,1000.0,-0.007018299773335457,"[-0.006944422610104084, -0.00709217693656683]"
UTS01,taskvec_a0p25,32,layer_32,10.0,-0.0027022730791941285,"[-0.0025100901257246733, -0.0028944560326635838]"
UTS01,taskvec_a0p25,32,layer_32,16.68100537200059,-0.0028503459179773927,"[-0.0023284193594008684, -0.003372272476553917]"
UTS01,taskvec_a0p25,32,layer_32,27.825594022071243,-0.0028914876747876406,"[-0.0020938091911375523, -0.003689166158437729]"
UTS01,taskvec_a0p25,32,layer_32,46.41588833612777,-0.0029064584523439407,"[-0.0019213398918509483, -0.003891577012836933]"
UTS01,taskvec_a0p25,32,layer_32,77.4263682681127,-0.0029167160391807556,"[-0.0018122326582670212, -0.00402119942009449]"
