arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,3,layer_3,__mean__,__mean__,close_neighbor,128,0.940964370345076,0.9406435328070074,0.9413021720907029,0.9408159567974508,0.9405262924536753,0.9411260142573156,0.00014841354762514433,-2.3750530090183016e-05,0.0003287312768710156,0.18048618048618048,0.018229166666666668,0.12239583333333333,-0.0038089544977992773
base,3,layer_3,__mean__,__mean__,far_neighbor,128,0.940964370345076,0.9406364538085956,0.9412936269965334,0.940477068691204,0.9402384644102616,0.9407234977154681,0.00048730165387193364,0.00022975495473171275,0.000702205595249931,0.034299034299034296,0.018229166666666668,0.12239583333333333,-0.0038089544977992773
base,3,layer_3,__mean__,__mean__,lexical,128,0.940964370345076,0.9406397462124007,0.9412949883146212,0.940542230848223,0.940295394063772,0.9407821094578442,0.0004221394968529542,0.0002182331479464968,0.0006396317388862369,0.010323010323010322,0.018229166666666668,0.12239583333333333,-0.0038089544977992773
base,3,layer_3,__mean__,__mean__,category_proxy,128,0.940964370345076,0.9406179374976394,0.941312331702405,0.9405430022937556,0.9402909634440827,0.9407886028212186,0.0004213680513203144,0.00022292144130915407,0.0006296184263192116,0.001665001665001665,0.018229166666666668,0.12239583333333333,-0.0038089544977992773
base,4,layer_4,triplet,pairwise,random,128,0.926734026055783,0.9262691560084931,0.9272927821613848,0.9258895595557988,0.9255249263020232,0.9262661768589169,0.0008444664999842644,0.0005295672453939915,0.0011506780865602195,0.000999000999000999,0.0234375,0.1796875,-0.005455601494759321
base,4,layer_4,triplet,pairwise,close_neighbor,128,0.926734026055783,0.9262882424285636,0.9272365303360857,0.926656577270478,0.926189094746951,0.9271152738598175,7.74487853050232e-05,-0.00014506875304505227,0.00030727053526788937,0.25574425574425574,0.0234375,0.1796875,-0.005455601494759321
base,4,layer_4,triplet,pairwise,far_neighbor,128,0.926734026055783,0.9262441526865587,0.9272302763070911,0.926184163428843,0.9258612233679742,0.9265488838893361,0.000549862626940012,0.00023938906379044058,0.000864404498133808,0.002997002997002997,0.0234375,0.1796875,-0.005455601494759321
base,4,layer_4,triplet,pairwise,lexical,128,0.926734026055783,0.9262847000500187,0.9272522666491568,0.9257736331783235,0.92536413440248,0.926165318209678,0.0009603928774595261,0.0006962292944081127,0.0012252058018930255,0.000999000999000999,0.0234375,0.1796875,-0.005455601494759321
base,4,layer_4,triplet,pairwise,category_proxy,128,0.926734026055783,0.9262606244534254,0.9272143204230815,0.9260669564828277,0.9257266786531545,0.926406818407122,0.00066706957295537,0.00040532887214794755,0.0009609551052562892,0.000999000999000999,0.0234375,0.1796875,-0.005455601494759321
base,4,layer_4,triplet,feature_listing,random,128,0.9555141292512417,0.9550867920857854,0.9558330394676886,0.9545889967121184,0.9542934767785483,0.9548686236608773,0.0009251325391232967,0.000632719846908003,0.0012049569864757358,0.000999000999000999,0.0234375,0.11328125,-0.002608418930321932
base,4,layer_4,triplet,feature_listing,close_neighbor,128,0.9555141292512417,0.9551402848097496,0.9559010700089857,0.9553179992362857,0.9550475325086154,0.9556000666343607,0.00019613001495599747,-3.122793277725577e-05,0.00040095777949318275,0.03996003996003996,0.0234375,0.11328125,-0.002608418930321932
base,4,layer_4,triplet,feature_listing,far_neighbor,128,0.9555141292512417,0.9550840537645854,0.9558336990885437,0.9531373754143715,0.9526348301325924,0.9537311997963116,0.0023767538368701935,0.0016778928344137966,0.0030246112961322055,0.000999000999000999,0.0234375,0.11328125,-0.002608418930321932
base,4,layer_4,triplet,feature_listing,lexical,128,0.9555141292512417,0.9550947061507031,0.9558764318702743,0.9548192815855145,0.9545438194298186,0.9550508908345364,0.0006948476657271385,0.0004853664780966938,0.0009183206362649798,0.000999000999000999,0.0234375,0.11328125,-0.002608418930321932
base,4,layer_4,triplet,feature_listing,category_proxy,128,0.9555141292512417,0.9551067908410914,0.9559061226900667,0.9550219220109284,0.9547307269182056,0.9552825854625553,0.0004922072403132915,0.0003066172474063933,0.00068720142589882,0.000999000999000999,0.0234375,0.11328125,-0.002608418930321932
base,4,layer_4,pairwise,feature_listing,random,128,0.8996505574323237,0.8992449397570453,0.8999833750305697,0.8991316482424736,0.8989018667605706,0.8993591643986292,0.0005189091898500919,0.00027786022983491423,0.0007772952551022169,0.000999000999000999,0.01953125,0.1015625,-0.003742884611710906
base,4,layer_4,pairwise,feature_listing,close_neighbor,128,0.8996505574323237,0.8992328652529977,0.8999645561212674,0.8996096295304596,0.8993626839132048,0.899890935595613,4.092790186405182e-05,-0.0001814868184737861,0.00023697080323472616,0.35764235764235763,0.01953125,0.1015625,-0.003742884611710906
base,4,layer_4,pairwise,feature_listing,far_neighbor,128,0.8996505574323237,0.8993278979673051,0.8999643830116838,0.8976758206263185,0.8970861992682331,0.8982298855320551,0.0019747368060052395,0.0014901915448717773,0.002521356381475924,0.000999000999000999,0.01953125,0.1015625,-0.003742884611710906
base,4,layer_4,pairwise,feature_listing,lexical,128,0.8996505574323237,0.8993254137923941,0.8999781723017805,0.8991094520315528,0.8988714133854956,0.899373642296996,0.0005411054007709026,0.000322450848761946,0.0007614274625666438,0.000999000999000999,0.01953125,0.1015625,-0.003742884611710906
base,4,layer_4,pairwise,feature_listing,category_proxy,128,0.8996505574323237,0.8993040601257235,0.8999808368040249,0.8993841274641454,0.8991273322142661,0.8996069777058437,0.00026642996817827225,6.811524508520961e-05,0.0004598455270752311,0.004995004995004995,0.01953125,0.1015625,-0.003742884611710906
base,4,layer_4,__mean__,__mean__,random,128,0.9272995709131161,0.9268669626171079,0.9277030655532142,0.9265367348367969,0.9262400899470474,0.9268313216394745,0.0007628360763192177,0.0004800491073789696,0.0010443101093793909,0.000999000999000999,0.022135416666666668,0.13151041666666666,-0.003935635012264053
base,4,layer_4,__mean__,__mean__,close_neighbor,128,0.9272995709131161,0.926887130830437,0.927700718822113,0.9271947353457412,0.926866437056257,0.9275354253632638,0.00010483556737502416,-0.00011926116809869804,0.00031506637266526613,0.21778221778221776,0.022135416666666668,0.13151041666666666,-0.003935635012264053
base,4,layer_4,__mean__,__mean__,far_neighbor,128,0.9272995709131161,0.926885368139483,0.9276761194691062,0.9256657864898443,0.9251940842562666,0.9261699897392343,0.001633784423271815,0.0011358244810253382,0.0021367907252473127,0.001665001665001665,0.022135416666666668,0.13151041666666666,-0.003935635012264053
