subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS03,lowLR,24,layer_24,129.1549665014884,0.004024475230835378,"[0.003648249199613929, 0.0044007012620568275]"
UTS03,lowLR,24,layer_24,215.44346900318823,0.004452583380043507,"[0.0038762064650654793, 0.005028960295021534]"
UTS03,lowLR,24,layer_24,359.38136638046257,0.004835064755752683,"[0.004131923895329237, 0.005538205616176128]"
UTS03,lowLR,24,layer_24,599.4842503189409,0.005234978860244155,"[0.004450866486877203, 0.006019091233611107]"
UTS03,lowLR,24,layer_24,1000.0,0.005684087751433253,"[0.004850458353757858, 0.006517717149108648]"
UTS03,lowLR,32,layer_32,10.0,-0.006272525526583195,"[-0.005538822151720524, -0.007006228901445866]"
UTS03,lowLR,32,layer_32,16.68100537200059,-0.005176126724109054,"[-0.0055427816696465015, -0.004809471778571606]"
UTS03,lowLR,32,layer_32,27.825594022071243,-0.004242011229507625,"[-0.005432473961263895, -0.003051548497751355]"
UTS03,lowLR,32,layer_32,46.41588833612777,-0.003550734370946884,"[-0.005284586921334267, -0.0018168818205595016]"
UTS03,lowLR,32,layer_32,77.4263682681127,-0.003073614148888737,"[-0.005147785879671574, -0.0009994424181059003]"
UTS03,lowLR,32,layer_32,129.1549665014884,-0.002745395730016753,"[-0.005040912423282862, -0.00044987903675064445]"
UTS03,lowLR,32,layer_32,215.44346900318823,-0.0025050990952877328,"[-0.004964390769600868, -4.5807420974597335e-05]"
UTS03,lowLR,32,layer_32,359.38136638046257,-0.0023068400769261643,"[-0.004910812713205814, 0.0002971325593534857]"
UTS03,lowLR,32,layer_32,599.4842503189409,-0.002121880097547546,"[-0.00487208366394043, 0.0006283234688453376]"
UTS03,lowLR,32,layer_32,1000.0,-0.0019392393587622792,"[-0.004841231275349855, 0.0009627525578252971]"
UTS03,scrambled,16,layer_16,10.0,0.0064833564683794975,"[0.006879230495542288, 0.006087482441216707]"
UTS03,scrambled,16,layer_16,16.68100537200059,0.007533554220572114,"[0.007324221543967724, 0.007742886897176504]"
UTS03,scrambled,16,layer_16,27.825594022071243,0.008184644393622875,"[0.007521593011915684, 0.008847695775330067]"
UTS03,scrambled,16,layer_16,46.41588833612777,0.008566975360736251,"[0.00758240045979619, 0.009551550261676311]"
UTS03,scrambled,16,layer_16,77.4263682681127,0.008808386977761984,"[0.007609440945088863, 0.010007333010435104]"
UTS03,scrambled,16,layer_16,129.1549665014884,0.008984463522210717,"[0.007642544340342283, 0.010326382704079151]"
UTS03,scrambled,16,layer_16,215.44346900318823,0.009138213004916906,"[0.0076963817700743675, 0.010580044239759445]"
UTS03,scrambled,16,layer_16,359.38136638046257,0.009292719885706902,"[0.007779623381793499, 0.010805816389620304]"
UTS03,scrambled,16,layer_16,599.4842503189409,0.009451799094676971,"[0.007897408679127693, 0.01100618951022625]"
UTS03,scrambled,16,layer_16,1000.0,0.009597249794751406,"[0.008048545569181442, 0.01114595402032137]"
UTS03,scrambled,24,layer_24,10.0,0.004030798678286374,"[0.004609561990946531, 0.003452035365626216]"
UTS03,scrambled,24,layer_24,16.68100537200059,0.004769650055095553,"[0.0048158783465623856, 0.004723421763628721]"
UTS03,scrambled,24,layer_24,27.825594022071243,0.005202151136472821,"[0.004819926340132952, 0.005584375932812691]"
UTS03,scrambled,24,layer_24,46.41588833612777,0.005421955371275544,"[0.004715612158179283, 0.006128298584371805]"
UTS03,scrambled,24,layer_24,77.4263682681127,0.005527607165277004,"[0.004588778596371412, 0.006466435734182596]"
UTS03,scrambled,24,layer_24,129.1549665014884,0.005576575640588999,"[0.004470266401767731, 0.006682884879410267]"
UTS03,scrambled,24,layer_24,215.44346900318823,0.005593061912804842,"[0.0043544466607272625, 0.0068316771648824215]"
UTS03,scrambled,24,layer_24,359.38136638046257,0.0055825423914939165,"[0.004221287555992603, 0.00694379722699523]"
