arm,layer,layer_name,format_a,format_b,n_concepts,same_similarity,same_similarity_ci_low,same_similarity_ci_high,random_similarity,random_similarity_ci_low,random_similarity_ci_high,close_neighbor_similarity,close_neighbor_similarity_ci_low,close_neighbor_similarity_ci_high,far_neighbor_similarity,far_neighbor_similarity_ci_low,far_neighbor_similarity_ci_high,same_minus_random,same_minus_random_ci_low,same_minus_random_ci_high,same_minus_close_neighbor,same_minus_close_neighbor_ci_low,same_minus_close_neighbor_ci_high,same_minus_far_neighbor,same_minus_far_neighbor_ci_low,same_minus_far_neighbor_ci_high,retrieval_top1,retrieval_top5,retrieval_margin
lowrank,29,layer_29,__mean__,__mean__,128,0.6203617550587902,0.6154776791479283,0.6248638884319614,0.5834106791298836,0.5792740138538647,0.5873800664286439,0.6360543461826941,0.63179119315076,0.6402952108066529,0.581089474260807,0.5776139548417025,0.5843931363507485,0.0369510759289066,0.034017880398702495,0.039984616076496116,-0.015692591123903792,-0.018623980299647274,-0.012402861423712844,0.03927228079798321,0.03563112700552059,0.04300564301859897,0.0859375,0.5065104166666666,-0.034125159649799265
lowrank,30,layer_30,triplet,pairwise,128,0.5180833155754954,0.5135125398752279,0.5227998417394701,0.49118932359851897,0.4862347135785967,0.49585572208743545,0.5153962941840291,0.5119356451905333,0.518920661660377,0.49389143544249237,0.4905172369617503,0.49721301698009485,0.026893991976976395,0.024379267514450475,0.029565769818145782,0.00268702139146626,-0.00021909509669058006,0.00574966004351154,0.024191880133002996,0.021126996440580116,0.02724707270390354,0.109375,0.359375,-0.02395520079880953
lowrank,30,layer_30,triplet,feature_listing,128,0.6780420849099755,0.671892951137852,0.684135936095845,0.6187022402882576,0.6133940684027038,0.6239599974127487,0.7302922625094652,0.7240464379196055,0.7362733833375387,0.6214093272574246,0.6164113885257393,0.626594991190359,0.05933984462171793,0.054576513986103234,0.064145537908189,-0.05225017759948969,-0.05782822066685185,-0.04692231669323519,0.056632757652550936,0.05156412110663951,0.06231528095668182,0.0078125,0.5,-0.07214101403951645
lowrank,30,layer_30,pairwise,feature_listing,128,0.5370569925289601,0.5332981827727054,0.5407457328750752,0.5084826909005642,0.5067224965489003,0.510327058180701,0.5381547161377966,0.534584001742769,0.5417171999346465,0.49594550603069365,0.4936511975422036,0.49835532789002174,0.028574301628395915,0.02590941682574339,0.031300115789053964,-0.0010977236088365316,-0.0026589548506308347,0.0004815511056222021,0.04111148649826646,0.037848872429458426,0.04437822356703691,0.09765625,0.4375,-0.014692937023937702
lowrank,30,layer_30,__mean__,__mean__,128,0.5777274643381437,0.5729012245952617,0.5825605035701301,0.5394580849291136,0.5354504261767337,0.5433809258936284,0.594614424277097,0.5901886949509693,0.5989704149775207,0.5370820895768702,0.5335266076765645,0.5407211120201585,0.03826937940903008,0.034955066108765705,0.04167047450512958,-0.01688695993895332,-0.020235423538057757,-0.013563701848033816,0.040645374761273466,0.03684666332555935,0.04464685907587409,0.07161458333333333,0.4322916666666667,-0.036929717287421227
lowrank,31,layer_31,triplet,pairwise,128,0.4984978961292654,0.49299373403773644,0.5040541279071477,0.47382810967974365,0.46758150577079505,0.48007135720690713,0.4961551057640463,0.4917526194010861,0.5005423774011433,0.48152740160003304,0.4776563101739157,0.48531726857763713,0.02466978644952178,0.022294790629530326,0.02704185851616785,0.002342790365219116,-0.0017388396896421908,0.00625665365369059,0.016970494529232383,0.013113619375508279,0.0206778098072391,0.11328125,0.390625,-0.0257730302400887
lowrank,31,layer_31,triplet,feature_listing,128,0.6181777096353471,0.6111155589460395,0.625033090217039,0.5554887428879738,0.5496484740113374,0.561279120639665,0.6799539430066943,0.672957076469902,0.686728140769992,0.5582414399832487,0.5523077544698026,0.5638749488454777,0.06268896674737334,0.05737667554640211,0.06767751613515428,-0.06177623337134719,-0.06882478283951059,-0.0554576761671342,0.05993626965209842,0.05414878414012492,0.06647492951597087,0.01953125,0.484375,-0.08236238360404968
lowrank,31,layer_31,pairwise,feature_listing,128,0.49399249628186226,0.48947503600502384,0.4984583479759749,0.4657687924336642,0.46417457197676415,0.4673392988974229,0.4949124052654952,0.49085787655203605,0.49865441061556337,0.4535608033183962,0.4514642284135334,0.4560196462029126,0.028223703848198056,0.024515835056081414,0.031610227341298015,-0.0009199089836329222,-0.0025214416033122688,0.0008236657129600638,0.04043169296346605,0.03714799250010401,0.0436314670543652,0.09765625,0.46875,-0.018696031998842955
lowrank,31,layer_31,__mean__,__mean__,128,0.536889367348825,0.5311947763295999,0.5425151887000538,0.4983618816671272,0.49380151725296556,0.5028965922479983,0.5570071513454119,0.5518558574743414,0.5619749762622329,0.49777654830055934,0.49380943101908387,0.5017372878753424,0.038527485681697726,0.03472910041067128,0.04210986733087338,-0.020117783996586997,-0.02436168804415502,-0.01612578560016118,0.039112819048265614,0.034803465338579066,0.043594735459191715,0.07682291666666667,0.4479166666666667,-0.04227714861432711
lowrank,32,layer_32,triplet,pairwise,128,0.27423690794967115,0.25897572465473784,0.2893851866945624,0.2520873358589597,0.23457140669052023,0.2675942944770213,0.2685648907208815,0.2573146632639691,0.2801852678006981,0.2786311177769676,0.26965434770681895,0.2880809018795844,0.022149572090711445,0.020281167296343484,0.023930347721034195,0.0056720172287896276,-0.00507616201066412,0.015694623760646207,-0.004394209827296436,-0.014152371141244657,0.005169386853231113,0.1484375,0.3984375,-0.11549777677282691
lowrank,32,layer_32,triplet,feature_listing,128,0.5137277166359127,0.5012555302120745,0.5264131409989204,0.4349260376766324,0.4213674928643741,0.45010427334927955,0.5710424517747015,0.5620603731716983,0.5800564036588185,0.4496464552357793,0.4397694162966218,0.4583539283426944,0.07880167895928025,0.0733502576709725,0.0841362162202131,-0.05731473513878882,-0.0692427308531478,-0.046879866655217484,0.06408126140013337,0.05471622535842471,0.07374847469036468,0.01953125,0.4375,-0.12868206948041916
lowrank,32,layer_32,pairwise,feature_listing,128,0.43448239751160145,0.4307250902988017,0.4383599147957284,0.41362820845097303,0.4117261695791967,0.41543091692146844,0.43718436965718865,0.433969488175353,0.44015604140004144,0.40140224737115204,0.39845318617299197,0.404222852177918,0.020854189060628414,0.017583972815191373,0.024437850731192156,-0.002701972145587206,-0.0047135094937402755,-0.0006793788867071271,0.033080150140449405,0.02991604877752252,0.03605924078146927,0.0859375,0.35546875,-0.02454771101474762
lowrank,32,layer_32,__mean__,__mean__,128,0.40748234069906175,0.396985448388538,0.41805274749640375,0.36688052732885507,0.35588835637803035,0.3777098282492564,0.4255972373842572,0.4177815082036735,0.4334659042865194,0.3765599401279663,0.3692923167254776,0.38355256080006556,0.040601813370206706,0.037071799260835786,0.04416813822414648,-0.018114896685195465,-0.026344134119184067,-0.01062154059375947,0.030922400571095448,0.023493300998234188,0.03832570077502168,0.08463541666666667,0.3971354166666667,-0.08957585242266457
taskvec_a0p25,0,embedding,triplet,pairwise,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
taskvec_a0p25,0,embedding,triplet,feature_listing,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
taskvec_a0p25,0,embedding,pairwise,feature_listing,128,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,-5.960464477539063e-08,-5.960464477539063e-08,-5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0390625,0.0
