arm,concept_index,concept,mid_layer_start,mid_layer_end,top1_count,top1_share,top5_count,top5_share,csls_top1_count,csls_top1_share,csls_top5_count,csls_top5_share
scrambled,31,belt,10,20,240,0.028409090909090908,615,0.01455965909090909,151,0.017874053030303032,588,0.013920454545454545
scrambled,21,bat,10,20,236,0.02793560606060606,572,0.013541666666666667,185,0.021898674242424244,520,0.01231060606060606
scrambled,44,bread,10,20,221,0.02616003787878788,1000,0.023674242424242424,209,0.024739583333333332,916,0.02168560606060606
scrambled,40,boa,10,20,220,0.026041666666666668,803,0.019010416666666665,234,0.027698863636363636,816,0.019318181818181818
scrambled,3,aloe,10,20,210,0.024857954545454544,610,0.014441287878787878,86,0.010179924242424242,459,0.010866477272727272
scrambled,72,cheetah,10,20,189,0.022372159090909092,916,0.02168560606060606,241,0.02852746212121212,794,0.018797348484848486
scrambled,58,candelabra,10,20,187,0.022135416666666668,835,0.019767992424242424,152,0.017992424242424244,721,0.01706912878787879
scrambled,20,bassoon,10,20,183,0.02166193181818182,1018,0.02410037878787879,139,0.016453598484848484,883,0.02090435606060606
scrambled,98,fern,10,20,161,0.019057765151515152,1007,0.023839962121212123,187,0.022135416666666668,985,0.023319128787878788
scrambled,73,cherry,10,20,160,0.01893939393939394,475,0.011245265151515152,150,0.01775568181818182,485,0.011482007575757576
scrambled,96,earwig,10,20,134,0.015861742424242424,601,0.014228219696969698,82,0.009706439393939394,459,0.010866477272727272
scrambled,94,duck,10,20,129,0.015269886363636364,275,0.006510416666666667,136,0.016098484848484848,354,0.008380681818181818
scrambled,43,bra,10,20,128,0.015151515151515152,438,0.010369318181818183,99,0.01171875,414,0.009801136363636364
scrambled,76,chinchilla,10,20,126,0.014914772727272728,1082,0.025615530303030303,80,0.00946969696969697,824,0.01950757575757576
scrambled,68,cauliflower,10,20,118,0.01396780303030303,463,0.010961174242424243,142,0.01680871212121212,496,0.011742424242424242
scrambled,80,coat,10,20,116,0.013731060606060606,463,0.010961174242424243,113,0.01337594696969697,415,0.009824810606060606
