subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
02,Dorsal Visual,90,1879,taskvec_a0p5,25,layer_25,0.07540366630551579,best_mean_subjects
02,Dorsal Visual,90,1879,taskvec_a1p0,6,layer_6,0.06797621405484892,best_mean_subjects
02,Language,90,6306,base,26,layer_26,0.0528304917159837,best_mean_subjects
02,Language,90,6306,scrambled,29,layer_29,0.03402492746790907,best_mean_subjects
02,Language,90,6306,lowLR,32,layer_32,0.0709144813948283,best_mean_subjects
02,Language,90,6306,lowrank,32,layer_32,0.07409460291261186,best_mean_subjects
02,Language,90,6306,taskvec_a0p25,29,layer_29,0.059382942894192874,best_mean_subjects
02,Language,90,6306,taskvec_a0p5,30,layer_30,0.06154480578069914,best_mean_subjects
02,Language,90,6306,taskvec_a1p0,30,layer_30,0.06062301426390125,best_mean_subjects
02,ATL (Semantic),90,8643,base,30,layer_30,0.08652505364572095,best_mean_subjects
02,ATL (Semantic),90,8643,scrambled,29,layer_29,0.06199628800839344,best_mean_subjects
02,ATL (Semantic),90,8643,lowLR,31,layer_31,0.10020482807201607,best_mean_subjects
02,ATL (Semantic),90,8643,lowrank,30,layer_30,0.10628570907029623,best_mean_subjects
02,ATL (Semantic),90,8643,taskvec_a0p25,31,layer_31,0.09600019969521897,best_mean_subjects
02,ATL (Semantic),90,8643,taskvec_a0p5,30,layer_30,0.10001934710882526,best_mean_subjects
02,ATL (Semantic),90,8643,taskvec_a1p0,30,layer_30,0.09412968889035687,best_mean_subjects
02,Prefrontal,90,8492,base,4,layer_4,0.024487406737065957,best_mean_subjects
02,Prefrontal,90,8492,scrambled,31,layer_31,0.015489005750243109,best_mean_subjects
02,Prefrontal,90,8492,lowLR,31,layer_31,0.03191918505745518,best_mean_subjects
02,Prefrontal,90,8492,lowrank,31,layer_31,0.03674165516907023,best_mean_subjects
02,Prefrontal,90,8492,taskvec_a0p25,29,layer_29,0.028711012174580868,best_mean_subjects
02,Prefrontal,90,8492,taskvec_a0p5,31,layer_31,0.037426912159756714,best_mean_subjects
02,Prefrontal,90,8492,taskvec_a1p0,31,layer_31,0.03758022658379988,best_mean_subjects
02,TGd,90,2136,base,24,layer_24,0.04508565923466045,best_mean_subjects
02,TGd,90,2136,scrambled,29,layer_29,0.07015965946951493,best_mean_subjects
02,TGd,90,2136,lowLR,29,layer_29,0.059896122658159384,best_mean_subjects
02,TGd,90,2136,lowrank,29,layer_29,0.06990002841226006,best_mean_subjects
02,TGd,90,2136,taskvec_a0p25,29,layer_29,0.06021916849159133,best_mean_subjects
02,TGd,90,2136,taskvec_a0p5,29,layer_29,0.07380700230807093,best_mean_subjects
02,TGd,90,2136,taskvec_a1p0,29,layer_29,0.08440763015586174,best_mean_subjects
02,TGv,90,873,base,31,layer_31,0.042402500370043436,best_mean_subjects
02,TGv,90,873,scrambled,15,layer_15,0.03923913842631272,best_mean_subjects
02,TGv,90,873,lowLR,31,layer_31,0.04233140181857556,best_mean_subjects
02,TGv,90,873,lowrank,31,layer_31,0.044081047551684294,best_mean_subjects
02,TGv,90,873,taskvec_a0p25,31,layer_31,0.046554079240442955,best_mean_subjects
02,TGv,90,873,taskvec_a0p5,32,layer_32,0.04509570750714653,best_mean_subjects
02,TGv,90,873,taskvec_a1p0,31,layer_31,0.05258544944577694,best_mean_subjects
02,TE1a,90,696,base,8,layer_8,0.03699411689449106,best_mean_subjects
02,TE1a,90,696,scrambled,32,layer_32,0.0504360316451169,best_mean_subjects
02,TE1a,90,696,lowLR,16,layer_16,0.049810967714449574,best_mean_subjects
02,TE1a,90,696,lowrank,16,layer_16,0.05092135730335735,best_mean_subjects
02,TE1a,90,696,taskvec_a0p25,15,layer_15,0.04318627104111799,best_mean_subjects
02,TE1a,90,696,taskvec_a0p5,31,layer_31,0.05179842362158776,best_mean_subjects
02,TE1a,90,696,taskvec_a1p0,32,layer_32,0.0631581701370277,best_mean_subjects
02,TE1m,90,437,base,3,layer_3,0.01845127933074665,best_mean_subjects
02,TE1m,90,437,scrambled,3,layer_3,0.014298990625512082,best_mean_subjects
02,TE1m,90,437,lowLR,31,layer_31,0.02642332676719299,best_mean_subjects
02,TE1m,90,437,lowrank,4,layer_4,0.020619784963718506,best_mean_subjects
02,TE1m,90,437,taskvec_a0p25,4,layer_4,0.017383873603476784,best_mean_subjects
02,TE1m,90,437,taskvec_a0p5,4,layer_4,0.019718741358753254,best_mean_subjects
02,TE1m,90,437,taskvec_a1p0,4,layer_4,0.014883902188338792,best_mean_subjects
02,TE1p,90,959,base,4,layer_4,0.033780381521690904,best_mean_subjects
02,TE1p,90,959,scrambled,3,layer_3,0.02289386433170757,best_mean_subjects
02,TE1p,90,959,lowLR,3,layer_3,0.028158921880137813,best_mean_subjects
02,TE1p,90,959,lowrank,4,layer_4,0.031229979890696685,best_mean_subjects
02,TE1p,90,959,taskvec_a0p25,4,layer_4,0.03017734732073337,best_mean_subjects
02,TE1p,90,959,taskvec_a0p5,4,layer_4,0.027741687502046964,best_mean_subjects
02,TE1p,90,959,taskvec_a1p0,31,layer_31,0.03678920233470431,best_mean_subjects
02,TE2a,90,846,base,25,layer_25,0.001710011544697718,best_mean_subjects
02,TE2a,90,846,scrambled,17,layer_17,-0.0111369816643367,best_mean_subjects
