analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.1285333532268128,0.07560812327138897,0.017097426184987163,0.8139145235558418,TE2a
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,0.10225496476617554,0.12704666450452487,0.10075275612599946,0.13275639424736138,TE2p
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.3601590860559471,2.897808337710096e-08,0.3869424986836872,2.0481356201525104e-09,TE2p
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.23623619501284204,0.00036179206363698934,0.24821676551584473,0.00017466870961870733,TE2p
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.3791302333624213,4.548373154068617e-09,0.3832996092924361,2.9789697985014805e-09,TE2p
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.026681614349775788,0.6912418126864189,0.049565558537057554,0.46043372242511926,TE2p
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.4267659984266067,6.717686702990488e-10,0.4820980246429877,1.4404791756074223e-12,TE2p
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.22399662262973716,0.001788324907305423,0.2694837297451285,0.00015691594786060618,TE2p
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.10890218272747036,0.13268059345078537,-0.004076640015285994,0.9552470483641512,TE2p
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,0.03162076780969601,0.6632735638247145,0.07809118994270879,0.28164004047790286,TE2p
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.3167251037625804,7.6131295057824575e-06,-0.20822332817284836,0.0037528517637585583,TE2p
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.02027973521247064,0.7627647196789509,-0.01625043546158189,0.8088812837428812,TF
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.31888639760837073,1.0947609436512211e-06,0.3216426882310697,8.730151474139582e-07,TF
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.38845262138381415,1.7511532942805024e-09,0.3710349978161541,1.0171538748741755e-08,TF
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.5437950340516486,1.2261630337179476e-18,0.5246370400258721,3.053102474755154e-17,TF
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.16005551996583392,0.016504374626797505,0.13981785010929296,0.036512176681305526,TF
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.3276066109649242,3.5101846759667283e-06,0.422837373720602,9.978399190365852e-10,TF
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.09990539294143179,0.1679743292085873,0.16473768781150736,0.022407422717510398,TF
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.1322011239297144,0.0675642828381794,-0.041364785286758264,0.5689026295394936,TF
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.03142239623684162,0.6652580211472732,0.0302126464054642,0.6774100115769731,TF
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.37725836204324126,6.89225707321783e-08,-0.2608801333237734,0.0002574331911034671,TF
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.609008114456545,3.971969185584101e-24,-0.5828936482503474,8.821312564506409e-22,TGd
arm_layer_raw,rsa_spearman_mean,linear_cka,224,-0.20388960068332268,0.0021640204947340107,-0.17013036142626708,0.01075209074901471,TGd
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.42818764655098357,2.1120327561595396e-11,0.3507310110914307,6.961610269859102e-08,TGd
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.47216455115428363,7.729665202612334e-14,0.4196319568382284,5.745915557541277e-11,TGd
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.3649007046764895,1.8446614246648175e-08,0.3087819331025091,2.46256900871086e-06,TGd
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,-0.1756232536689906,0.014826694587095502,-0.26708285404354337,0.00018046468313852475,TGd
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,-0.02783787266364648,0.7015059822701506,-0.05668605855749477,0.43482355033636144,TGd
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.058816622700232496,0.41772927176398933,-0.16919778394029245,0.018970780287870997,TGd
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.052237847518323555,0.4717751648545774,-0.15409147675358895,0.03284496130381551,TGd
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.475705653365163,3.10349374118117e-12,0.3561668159510273,3.9734636528061174e-07,TGd
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.48083707025411065,2.3177502112504345e-14,-0.4845672727199862,1.3661324607474437e-14,TGv
arm_layer_raw,rsa_spearman_mean,linear_cka,224,-0.311463805253043,1.991609204950743e-06,-0.26557583946987307,5.696207562561866e-05,TGv
