region,arm,layer_name,n_subjects,mean_rsa_spearman,se_rsa_spearman,n_concepts,formats,best_layer,best_layer_name,best_cross_format_rdm_spearman,best_linear_cka,best_retrieval_top1,best_retrieval_top5,best_concept_minus_format_alignment,mid_layer_start,mid_layer_end,mid_cross_format_rdm_spearman,mid_linear_cka,mid_retrieval_top1,mid_retrieval_top5,mid_concept_minus_format_alignment,base_mean_rsa_spearman,mean_rsa_delta_vs_base
PeEc,scrambled,layer_1,3,0.0339147325835832,0.0029423973993198,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0410651465720547,-0.0071504139884715
PeEc,taskvec_a0p25,layer_31,3,0.0372377044391494,0.0139015224752813,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0410651465720547,-0.0038274421329052982
PeEc,taskvec_a0p5,layer_3,3,0.0378380358561771,0.0115144583713229,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0410651465720547,-0.0032271107158775986
PeEc,taskvec_a1p0,layer_3,3,0.0393591139006723,0.0074209725189122,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0410651465720547,-0.0017060326713823973
Prefrontal,base,layer_4,3,0.0118625288179944,0.0069935381316601,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0118625288179944,0.0
Prefrontal,lowLR,layer_31,3,0.0135011489732217,0.0092772073012775,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0118625288179944,0.0016386201552273001
Prefrontal,lowrank,layer_31,3,0.0131220762498564,0.0118278367425033,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0118625288179944,0.001259547431861999
Prefrontal,scrambled,layer_31,3,0.0128602682412417,0.006899523114395,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0118625288179944,0.0009977394232472993
Prefrontal,taskvec_a0p25,layer_29,3,0.0146236470990912,0.0071071950482768,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0118625288179944,0.0027611182810968003
Prefrontal,taskvec_a0p5,layer_31,3,0.0182848088652303,0.0098137949767774,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0118625288179944,0.0064222800472359
Prefrontal,taskvec_a1p0,layer_31,3,0.0195744798817717,0.0099003094791505,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0118625288179944,0.007711951063777299
TE1a,base,layer_8,3,0.0241121524269835,0.0097153866087506,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0241121524269835,0.0
TE1a,lowLR,layer_16,3,0.0213392617842123,0.0144856021687988,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0241121524269835,-0.0027728906427711975
TE1a,lowrank,layer_16,3,0.0213121005769112,0.0149555916873443,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0241121524269835,-0.0028000518500722986
TE1a,scrambled,layer_32,3,0.0186988222743578,0.0173314299042042,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0241121524269835,-0.005413330152625698
TE1a,taskvec_a0p25,layer_15,3,0.0206326524635577,0.0113129661381733,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0241121524269835,-0.003479499963425798
TE1a,taskvec_a0p5,layer_31,3,0.0258784972113855,0.0129601577989293,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0241121524269835,0.0017663447844020012
TE1a,taskvec_a1p0,layer_32,3,0.0331178134052474,0.01636206426915,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0241121524269835,0.009005660978263903
TE1m,base,layer_3,3,0.017054106256819,0.0056078290100396,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.017054106256819,0.0
TE1m,lowLR,layer_31,3,0.0166918327088184,0.0053702009499503,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.017054106256819,-0.0003622735480005995
TE1m,lowrank,layer_4,3,0.0196953935211717,0.0048809699092635,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.017054106256819,0.002641287264352702
TE1m,scrambled,layer_3,3,0.0146694372367099,0.0115159120313688,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.017054106256819,-0.002384669020109099
TE1m,taskvec_a0p25,layer_4,3,0.0181018051010814,0.0044366051949116,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.017054106256819,0.0010476988442623993
TE1m,taskvec_a0p5,layer_4,3,0.0197433195767155,0.0029649071468952,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.017054106256819,0.002689213319896501
TE1m,taskvec_a1p0,layer_4,3,0.016834616857616,0.0027083156923947,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.017054106256819,-0.0002194893992030003
TE1p,base,layer_4,3,0.0257784455555215,0.0041976661435213,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0257784455555215,0.0
TE1p,lowLR,layer_3,3,0.0265720714738199,0.0033655912504759,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0257784455555215,0.0007936259182983983
TE1p,lowrank,layer_4,3,0.0239611879921079,0.004774398332681,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0257784455555215,-0.0018172575634135997
TE1p,scrambled,layer_3,3,0.0267583374894318,0.0033129695149076,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0257784455555215,0.0009798919339102999
TE1p,taskvec_a0p25,layer_4,3,0.0249904044184533,0.003709384621229,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0257784455555215,-0.0007880411370682003
TE1p,taskvec_a0p5,layer_4,3,0.0256848849033605,0.0029432164052368,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0257784455555215,-9.356065216100176e-05
TE1p,taskvec_a1p0,layer_31,3,0.0241282427015064,0.0064321897240856,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0257784455555215,-0.0016502028540151016
TE2a,base,layer_25,3,0.0137458066250271,0.0080473500968742,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0137458066250271,0.0
TE2a,lowLR,layer_22,3,0.0148762511028101,0.0119644256858265,128,"triplet,pairwise,feature_listing",8,layer_8,0.8734227105916541,0.9529805580774944,0.0455729166666666,0.2317708333333333,-0.9655651575885712,10,20,0.6211392833568842,0.6899302466349169,0.0729166666666666,0.3063446969696969,-0.9303763908418742,0.0137458066250271,0.0011304444777830002
TE2a,lowrank,layer_22,3,0.0150555260547575,0.0115517019418419,128,"triplet,pairwise,feature_listing",8,layer_8,0.8785470708437854,0.9476561546325684,0.1028645833333333,0.359375,-0.9684438789263368,10,20,0.6636738605675485,0.7466792175264069,0.0968276515151515,0.407907196969697,-0.9310713747346944,0.0137458066250271,0.0013097194297303997
TE2a,scrambled,layer_17,3,0.0014017145224828,0.0100929102288592,128,"triplet,pairwise,feature_listing",4,layer_4,0.6796956667687993,0.440745602051417,0.1276041666666666,0.3046875,-0.875843895599246,10,20,0.3471955904669872,0.4600809758359735,0.109375,0.2666903409090909,-0.8651859365742315,0.0137458066250271,-0.0123440921025443
TE2a,taskvec_a0p25,layer_25,3,0.0152097528656286,0.0091545262356523,128,"triplet,pairwise,feature_listing",11,layer_11,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,10,20,0.676997994075692,0.7808645593397544,0.2062026515151515,0.5392992424242423,-0.8716299812394109,0.0137458066250271,0.0014639462406014995
TE2a,taskvec_a0p5,layer_25,3,0.0170987257273558,0.0104231661993458,128,"triplet,pairwise,feature_listing",11,layer_11,0.8064476586447115,0.901366929213206,0.2083333333333333,0.5234375,-0.8402984514832497,10,20,0.6372132719747771,0.7464240373987139,0.1577888257575757,0.4744318181818181,-0.8434505520219152,0.0137458066250271,0.0033529191023286987
TE2a,taskvec_a1p0,layer_24,3,0.0145761171811983,0.0131214541627766,128,"triplet,pairwise,feature_listing",7,layer_7,0.7567880709637492,0.8899276653925577,0.234375,0.58203125,-0.7158977389335632,10,20,0.4867208733837115,0.5504800514741377,0.0636837121212121,0.1896306818181818,-0.7862517591565847,0.0137458066250271,0.0008303105561712001
TE2p,base,layer_30,3,0.0947403041329567,0.0378895638928913,128,"triplet,pairwise,feature_listing",3,layer_3,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,10,20,0.3229568784016629,0.3889826156876304,0.0191761363636363,0.0800189393939393,-0.967289013534107,0.0947403041329567,0.0
