region,arm,layer,layer_name,rsa_spearman_mean,rsa_spearman_se,n_subjects,n_concepts,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,concept_minus_format_alignment,base_rsa_spearman_mean,base_cross_format_rdm_spearman,base_linear_cka,base_retrieval_top1,base_retrieval_top5,base_concept_minus_format_alignment,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,linear_cka_delta_vs_base,retrieval_top1_delta_vs_base,retrieval_top5_delta_vs_base,concept_minus_format_alignment_delta_vs_base
Prefrontal,taskvec_a0p25,7,layer_7,0.0075642224172237996,0.00534040418768043,3,90,0.7515123734404461,0.8827781875928243,0.0950520833333333,0.3385416666666667,-0.9259527768008412,0.007963924248486133,0.5053800057563055,0.5630882879098257,0.0169270833333333,0.0755208333333333,-0.9617542009800673,-0.00039970183126233384,0.2461323676841406,0.31968989968299866,0.078125,0.26302083333333337,0.03580142417922605
Prefrontal,taskvec_a0p25,8,layer_8,0.009865226692233333,0.0038874953509876395,3,90,0.8230349505552205,0.9120089014371237,0.1028645833333333,0.3815104166666667,-0.9204466929659249,0.0103875603367938,0.4983549504494275,0.5576125383377075,0.0143229166666666,0.0703125,-0.9696994114201516,-0.0005223336445604673,0.32468000010579295,0.35439636309941613,0.0885416666666667,0.3111979166666667,0.04925271845422674
Prefrontal,taskvec_a0p25,9,layer_9,0.009534468005188833,0.003381818935103286,3,90,0.8057748376939089,0.8900038599967957,0.0846354166666666,0.3294270833333333,-0.8730615833774209,0.010191009935213833,0.516973717743805,0.5538837810357412,0.01953125,0.0729166666666666,-0.9122839610790834,-0.0006565419300249998,0.28880111995010393,0.33612007896105445,0.0651041666666666,0.25651041666666674,0.03922237770166248
Prefrontal,taskvec_a0p25,10,layer_10,0.009417598245031232,0.004384500452292515,3,90,0.8046387843996405,0.8670278191566467,0.078125,0.2669270833333333,-0.91153993178159,0.010133632428841266,0.4303329732855501,0.4787539144357045,0.0091145833333333,0.0598958333333333,-0.9475824533728884,-0.000716034183810034,0.37430581111409045,0.38827390472094225,0.0690104166666667,0.20703125,0.03604252159129839
Prefrontal,taskvec_a0p25,11,layer_11,0.0086514542673001,0.0038450294408743538,3,90,0.8239249870534996,0.8783366084098816,0.078125,0.2395833333333333,-0.913195832632482,0.009585460360421466,0.3943702836831013,0.4765990277131398,0.0091145833333333,0.05859375,-0.9314776781247928,-0.0009340060931213659,0.4295547033703983,0.4017375806967418,0.0690104166666667,0.1809895833333333,0.01828184549231071
Prefrontal,taskvec_a0p25,12,layer_12,0.0096011586068635,0.0041916662033651166,3,90,0.7175503132756392,0.776174783706665,0.0520833333333333,0.171875,-0.9316009571775794,0.008127167642950133,0.3482040690119243,0.4399723311265309,0.0130208333333333,0.0533854166666666,-0.9568232994060965,0.0014739909639133672,0.36934624426371493,0.33620245258013415,0.0390625,0.1184895833333334,0.025222342228517047
Prefrontal,taskvec_a0p25,13,layer_13,0.008112020950628166,0.0042190795984548895,3,90,0.5230292435374126,0.5444024304548899,0.0859375,0.2799479166666667,-0.922254029661417,0.0059839325037034,0.4050406488262516,0.5068856577078501,0.0143229166666666,0.0651041666666666,-0.9669681733939796,0.0021280884469247656,0.11798859471116102,0.037516772747039795,0.0716145833333334,0.21484375000000008,0.04471414373256255
Prefrontal,taskvec_a0p25,14,layer_14,0.0074075749450327995,0.004775324351158377,3,90,0.5375889406289557,0.5961784521738688,0.078125,0.23828125,-0.9141298606991768,0.0042097028241407,0.3664868863098827,0.4428336123625437,0.015625,0.0690104166666666,-0.9680170668289064,0.0031978721208920993,0.171102054319073,0.15334483981132507,0.0625,0.1692708333333334,0.05388720612972964
Prefrontal,taskvec_a0p25,15,layer_15,0.008530046296430399,0.0070817248264845745,3,90,0.5228893006851654,0.6010901927947998,0.1067708333333333,0.3815104166666667,-0.9131287317723036,0.0058109615700196,0.3140893622396858,0.3596119781335194,0.015625,0.0755208333333333,-0.9753471747972072,0.002719084726410799,0.20879993844547956,0.2414782146612804,0.0911458333333333,0.30598958333333337,0.06221844302490365
Prefrontal,taskvec_a0p25,16,layer_16,0.0083825987195652,0.007681120456632948,3,90,0.7445650299360604,0.8614101012547811,0.3515625,0.8216145833333334,-0.8409162499010563,0.006596243130767167,0.333855986140614,0.3747537831465403,0.0208333333333333,0.09375,-0.975171159952879,0.0017863555887980337,0.4107090437954464,0.48665631810824084,0.3307291666666667,0.7278645833333334,0.13425491005182266
