region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
Ventral Visual,taskvec_a0p5,19,layer_19,mean_repr_plus_single_formats,0.1946424007352258,0.20008898888523463,0.039069132200542644,3,765
Ventral Visual,taskvec_a0p5,18,layer_18,single_feature_listing,0.18600911638878348,0.1909050321517021,0.03596537569106121,3,765
Ventral Visual,taskvec_a0p5,8,layer_8,single_pairwise,0.18169202682243601,0.18775312803526034,0.033137771898420376,3,765
Ventral Visual,taskvec_a0p5,18,layer_18,single_triplet,0.1767290981621715,0.18014442645904025,0.03187685751782702,3,765
Ventral Visual,taskvec_a1p0,11,layer_11,all_single_formats,0.17036465877696264,0.17338722164281165,0.02806979951340786,3,765
Ventral Visual,taskvec_a1p0,9,layer_9,mean_rdm,0.17286578830905466,0.17506301815811054,0.029535045379150415,3,765
Ventral Visual,taskvec_a1p0,11,layer_11,mean_repr,0.17588853951087705,0.1791449812100326,0.030985942002670425,3,765
Ventral Visual,taskvec_a1p0,11,layer_11,mean_repr_plus_single_formats,0.16821162921195923,0.17115276076848154,0.026716591584243665,3,765
Ventral Visual,taskvec_a1p0,8,layer_8,single_feature_listing,0.11702820368683335,0.12704872561394065,0.014435675937092643,3,765
Ventral Visual,taskvec_a1p0,11,layer_11,single_pairwise,0.17325320394216379,0.1771945074559016,0.029892604541064755,3,765
Ventral Visual,taskvec_a1p0,9,layer_9,single_triplet,0.1674683190511221,0.1682721029940918,0.027527960677653545,3,765
