region,arm,model,mean_mid_test_pearson_r,mean_mid_test_spearman_r,mean_mid_test_r2_vs_train_mean,n_subjects,n_layers,n_rows
ATL (Semantic),taskvec_a0p5,mean_rdm,0.03574115129233549,0.02026835087310272,0.000988075229185096,3,11,33
ATL (Semantic),taskvec_a0p5,mean_repr,0.035578487255005724,0.020174361845685686,0.0014067395756626592,3,11,33
ATL (Semantic),taskvec_a0p5,mean_repr_plus_single_formats,0.024849967679073895,0.014813191690904075,-0.00030510918848197284,3,11,33
ATL (Semantic),taskvec_a0p5,single_feature_listing,0.02358433010247337,0.009086937243074139,0.00035835642750923753,3,11,33
ATL (Semantic),taskvec_a0p5,single_pairwise,0.029784577085651315,0.01933746670298024,0.0005547211836635225,3,11,33
ATL (Semantic),taskvec_a0p5,single_triplet,0.030968627026343606,0.01582756101600972,0.0007345310330933559,3,11,33
ATL (Semantic),taskvec_a1p0,all_single_formats,0.029733355979523618,0.01889955545275861,2.1279306145405634e-05,3,11,33
ATL (Semantic),taskvec_a1p0,mean_rdm,0.025501154321618077,0.00827549685278169,-0.00020978358697504475,3,11,33
ATL (Semantic),taskvec_a1p0,mean_repr,0.027302578716519265,0.009636221868199811,0.00016003877472041617,3,11,33
ATL (Semantic),taskvec_a1p0,mean_repr_plus_single_formats,0.029782716814430666,0.014925647780156582,6.854515661812822e-05,3,11,33
ATL (Semantic),taskvec_a1p0,single_feature_listing,0.033717493803196004,0.02161845911489085,0.0004669171165652366,3,11,33
ATL (Semantic),taskvec_a1p0,single_pairwise,0.020935645528805072,0.009468190774333177,-4.671348487444488e-05,3,11,33
ATL (Semantic),taskvec_a1p0,single_triplet,0.027090883118717775,0.011453451904931118,0.00035793864426838986,3,11,33
Language,base,all_single_formats,0.015706109957457918,0.019390365380678995,-0.00030698931076808967,3,11,33
Language,base,mean_rdm,0.006061079464221191,0.01582803049004829,-0.00047769047018312005,3,11,33
Language,base,mean_repr,0.00040727534675876896,0.007247543645632744,-0.0007863806697615113,3,11,33
Language,base,mean_repr_plus_single_formats,0.00014623823575942054,0.0032104397315586425,-0.0016502887911102747,3,11,33
Language,base,single_feature_listing,0.0106205011371344,0.018558424082543153,-0.0003321583623458182,3,11,33
Language,base,single_pairwise,0.009526769525318193,0.012189492165465166,-0.0005555363376540558,3,11,33
Language,base,single_triplet,0.016767498339960503,0.02002060422462143,8.375820736987323e-05,3,11,33
Language,lowLR,all_single_formats,0.033177103087892366,0.035880437925708074,0.0013517507506687813,3,11,33
Language,lowLR,mean_rdm,0.05108856679355409,0.056887754743578274,0.0018420163219804307,3,11,33
Language,lowLR,mean_repr,0.0510788067772131,0.05462823142818575,0.002055942277542056,3,11,33
Language,lowLR,mean_repr_plus_single_formats,0.02911890210551559,0.036974335990499534,0.0009056795865149992,3,11,33
Language,lowLR,single_feature_listing,0.038075337112748575,0.044542433748055166,0.0014028819205410346,3,11,33
Language,lowLR,single_pairwise,0.04234084455450315,0.04299867883670083,0.001183151885620927,3,11,33
Language,lowLR,single_triplet,0.041908048790292515,0.04277801466722994,0.0014304177227702278,3,11,33
Language,lowrank,all_single_formats,0.030749156188945335,0.037728024576137435,0.0010305778046465384,3,11,33
Language,lowrank,mean_rdm,0.050598188940216886,0.05899095457547083,0.0020636797737925185,3,11,33
Language,lowrank,mean_repr,0.050271519464289226,0.056408998439762326,0.0022451680309732956,3,11,33
Language,lowrank,mean_repr_plus_single_formats,0.02365039848142754,0.03399124515390906,0.00024284314246830247,3,11,33
Language,lowrank,single_feature_listing,0.03975985973446423,0.04700838674757962,0.0016030337302275783,3,11,33
Language,lowrank,single_pairwise,0.03975513703724306,0.04897863932924213,0.0009632656625674935,3,11,33
Language,lowrank,single_triplet,0.04875118288162821,0.05166776794067219,0.0020922581520485253,3,11,33
