region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
Ventral Visual,lowrank,20,layer_20,mean_repr,0.1797754040304953,0.1869697667410117,0.03273665936578204,3,765
Ventral Visual,lowrank,20,layer_20,mean_repr_plus_single_formats,0.19046295962176055,0.19117057820170794,0.0354699086740455,3,765
Ventral Visual,lowrank,20,layer_20,single_feature_listing,0.19367329408550646,0.19226182674346515,0.03739418944855829,3,765
Ventral Visual,lowrank,20,layer_20,single_pairwise,0.07279031572806295,0.13396577090776438,0.0020554674946799967,3,765
Ventral Visual,lowrank,20,layer_20,single_triplet,0.1475682415947547,0.16045965618304334,0.02059959420297282,3,765
Ventral Visual,lowrank,21,layer_21,all_single_formats,0.1896391259316577,0.18919037000881578,0.035044507526648415,3,765
Ventral Visual,lowrank,21,layer_21,mean_rdm,0.15789468250969296,0.1731287428827878,0.02457964383474731,3,765
Ventral Visual,lowrank,21,layer_21,mean_repr,0.1787569713164654,0.18556615470360313,0.03222364440503859,3,765
Ventral Visual,lowrank,21,layer_21,mean_repr_plus_single_formats,0.19224467838577453,0.19295795033937732,0.03637144956636207,3,765
Ventral Visual,lowrank,21,layer_21,single_feature_listing,0.19275685860001168,0.19125544822388105,0.03700118343467499,3,765
Ventral Visual,lowrank,21,layer_21,single_pairwise,0.07008666283746016,0.12965510820771473,0.0020581072095386954,3,765
Ventral Visual,lowrank,21,layer_21,single_triplet,0.13550050453736506,0.14903343864578214,0.01671659800783813,3,765
Ventral Visual,lowrank,22,layer_22,all_single_formats,0.18438041392629087,0.1829110783925069,0.032752761583849245,3,765
Ventral Visual,lowrank,22,layer_22,mean_rdm,0.1727054869705665,0.17528249727114154,0.029829472569085008,3,765
Ventral Visual,lowrank,22,layer_22,mean_repr,0.1886284597174461,0.18722120501493467,0.035958587457687576,3,765
Ventral Visual,lowrank,22,layer_22,mean_repr_plus_single_formats,0.18803296902831854,0.18399664451147202,0.034571784821644656,3,765
Ventral Visual,lowrank,22,layer_22,single_feature_listing,0.1858824749508269,0.184699209973474,0.034353096951527363,3,765
Ventral Visual,lowrank,22,layer_22,single_pairwise,0.07690319252891253,0.13547190779036042,0.0034920558581131114,3,765
Ventral Visual,lowrank,22,layer_22,single_triplet,0.15265388821555312,0.15638870952625125,0.022072759030317652,3,765
Ventral Visual,lowrank,23,layer_23,all_single_formats,0.18454857814754055,0.18024659391914644,0.033407577434321066,3,765
Ventral Visual,lowrank,23,layer_23,mean_rdm,0.1687447351477692,0.17179636662670209,0.028476287733044336,3,765
Ventral Visual,lowrank,23,layer_23,mean_repr,0.18175949332380217,0.17963820836068445,0.03336342231308609,3,765
Ventral Visual,lowrank,23,layer_23,mean_repr_plus_single_formats,0.18571943285783363,0.18012548504973325,0.03409157323632509,3,765
Ventral Visual,lowrank,23,layer_23,single_feature_listing,0.18567782701401436,0.17987675396780087,0.034656679376240986,3,765
Ventral Visual,lowrank,23,layer_23,single_pairwise,0.06715258998312083,0.128544471525299,0.002176634241829271,3,765
Ventral Visual,lowrank,23,layer_23,single_triplet,0.14500503269280826,0.1446275506908298,0.019819152738830097,3,765
Ventral Visual,lowrank,24,layer_24,all_single_formats,0.17742240588428768,0.1799470784171665,0.030602906544604513,3,765
Ventral Visual,lowrank,24,layer_24,mean_rdm,0.16090895526570834,0.166880865415122,0.025713571313314938,3,765
Ventral Visual,lowrank,24,layer_24,mean_repr,0.1741566225687302,0.17542632689709606,0.030367637761090267,3,765
Ventral Visual,lowrank,24,layer_24,mean_repr_plus_single_formats,0.1793634123521141,0.17988155186251678,0.031557118848466126,3,765
Ventral Visual,lowrank,24,layer_24,single_feature_listing,0.18029898472089448,0.18122727645138773,0.032434098309344704,3,765
Ventral Visual,lowrank,24,layer_24,single_pairwise,0.06521626971796347,0.12596609898726896,0.0024023150461291256,3,765
Ventral Visual,lowrank,24,layer_24,single_triplet,0.1285143181674366,0.12466482416788022,0.015024867513432794,3,765
Ventral Visual,lowrank,25,layer_25,all_single_formats,0.183260198509306,0.1875517951497305,0.03299115862030699,3,765
Ventral Visual,lowrank,25,layer_25,mean_rdm,0.16336918527638372,0.16883210754717773,0.026440307617528507,3,765
Ventral Visual,lowrank,25,layer_25,mean_repr,0.17561605284119355,0.17976024643130895,0.030900154099439286,3,765
Ventral Visual,lowrank,25,layer_25,mean_repr_plus_single_formats,0.1831132688010905,0.18714641325205325,0.033076606870957814,3,765
Ventral Visual,lowrank,25,layer_25,single_feature_listing,0.183155340515785,0.1857116819086936,0.033730907829830535,3,765
Ventral Visual,lowrank,25,layer_25,single_pairwise,0.06165827187588127,0.1258895471028623,0.0019715676659666967,3,765
Ventral Visual,lowrank,25,layer_25,single_triplet,0.12763325839759473,0.11997055325622928,0.01505082157274836,3,765
Ventral Visual,lowrank,26,layer_26,all_single_formats,0.17609598328387646,0.18800063507328937,0.029823217432121314,3,765
Ventral Visual,lowrank,26,layer_26,mean_rdm,0.158440290981602,0.16905600930058937,0.024740354245478307,3,765
Ventral Visual,lowrank,26,layer_26,mean_repr,0.16967860430456352,0.17775142956266163,0.02838591730649435,3,765
Ventral Visual,lowrank,26,layer_26,mean_repr_plus_single_formats,0.17698317955439893,0.1885884352510706,0.03020660340460346,3,765
Ventral Visual,lowrank,26,layer_26,single_feature_listing,0.1776473920729369,0.1887043620368055,0.0313237256628458,3,765
Ventral Visual,lowrank,26,layer_26,single_pairwise,0.059676173161938774,0.1238690794805658,0.001644635481692765,3,765
Ventral Visual,lowrank,26,layer_26,single_triplet,0.1127224981297371,0.11176163237065408,0.010878098393062086,3,765
Ventral Visual,lowrank,27,layer_27,all_single_formats,0.173144323722164,0.18265378793787823,0.028827314344387494,3,765
Ventral Visual,lowrank,27,layer_27,mean_rdm,0.1470034683102468,0.1572816004132801,0.02105949972342976,3,765
