arm,layer,layer_name,format_a,format_b,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,retrieval_margin,concept_label_alignment,format_label_alignment,concept_minus_format_alignment
taskvec_a0p5,8,layer_8,__mean__,__mean__,0.8040206500656558,0.9343201915423075,0.3046875,0.625,-0.004830051679164171,0.05550580099225044,0.835910975933075,-0.7804051749408245
taskvec_a0p5,9,layer_9,triplet,pairwise,0.8666104413963077,0.9430915713310242,0.53515625,0.91796875,-0.0006071466486901045,,,
taskvec_a0p5,9,layer_9,triplet,feature_listing,0.7502137294096094,0.9138407707214355,0.15625,0.39453125,-0.00929286191239953,,,
taskvec_a0p5,9,layer_9,pairwise,feature_listing,0.7651317056237052,0.9197738766670227,0.18359375,0.43359375,-0.0053909956477582455,,,
taskvec_a0p5,9,layer_9,__mean__,__mean__,0.7939852921432076,0.9255687395731608,0.2916666666666667,0.58203125,-0.005097001402949293,0.05086721479892731,0.8256914019584656,-0.7748241871595383
taskvec_a0p5,10,layer_10,triplet,pairwise,0.8383174892071381,0.9102361798286438,0.390625,0.82421875,-0.0037795293610543013,,,
taskvec_a0p5,10,layer_10,triplet,feature_listing,0.7474469724486699,0.8935364484786987,0.1484375,0.34765625,-0.010236300295218825,,,
taskvec_a0p5,10,layer_10,pairwise,feature_listing,0.816174332720464,0.9242016673088074,0.109375,0.3671875,-0.00708918459713459,,,
taskvec_a0p5,10,layer_10,__mean__,__mean__,0.8006462647920906,0.9093247652053833,0.21614583333333334,0.5130208333333334,-0.007035004751135905,0.043740224093198776,0.8721511363983154,-0.8284109123051167
taskvec_a0p5,11,layer_11,triplet,pairwise,0.8104027023875146,0.891892671585083,0.33984375,0.76953125,-0.005174686433747411,,,
taskvec_a0p5,11,layer_11,triplet,feature_listing,0.763721777590463,0.8868941068649292,0.140625,0.36328125,-0.010817571310326457,,,
taskvec_a0p5,11,layer_11,pairwise,feature_listing,0.8452184959561567,0.9253140091896057,0.14453125,0.4375,-0.006690597394481301,,,
taskvec_a0p5,11,layer_11,__mean__,__mean__,0.8064476586447115,0.9013669292132059,0.20833333333333334,0.5234375,-0.007560951712851723,0.042353592813014984,0.8826520442962646,-0.8402984514832497
taskvec_a0p5,12,layer_12,triplet,pairwise,0.5596487397973127,0.6344994902610779,0.2421875,0.5234375,-0.013031529961153865,,,
taskvec_a0p5,12,layer_12,triplet,feature_listing,0.5393061437036317,0.622462809085846,0.09375,0.3203125,-0.017089645145460963,,,
taskvec_a0p5,12,layer_12,pairwise,feature_listing,0.8440512748139172,0.9203720688819885,0.1015625,0.35546875,-0.007698602741584182,,,
taskvec_a0p5,12,layer_12,__mean__,__mean__,0.6476687194382872,0.7257781227429708,0.14583333333333334,0.3997395833333333,-0.012606592616066337,0.03382682055234909,0.9513139128684998,-0.9174870923161507
taskvec_a0p5,13,layer_13,triplet,pairwise,0.40696011565503104,0.35040172934532166,0.0390625,0.16796875,-0.10915954411029816,,,
taskvec_a0p5,13,layer_13,triplet,feature_listing,0.6140576819039941,0.6945613622665405,0.08984375,0.31640625,-0.01742428122088313,,,
taskvec_a0p5,13,layer_13,pairwise,feature_listing,0.563534902742103,0.44053032994270325,0.0234375,0.1328125,-0.06585121992975473,,,
taskvec_a0p5,13,layer_13,__mean__,__mean__,0.5281842334337093,0.4951644738515218,0.05078125,0.20572916666666666,-0.06414501508697867,0.02630498632788658,0.9189842343330383,-0.8926792480051517
taskvec_a0p5,14,layer_14,triplet,pairwise,0.4140324825999096,0.3855800926685333,0.04296875,0.17578125,-0.1285318061709404,,,
taskvec_a0p5,14,layer_14,triplet,feature_listing,0.6866551093107671,0.7707539200782776,0.0625,0.2578125,-0.03544363146647811,,,
taskvec_a0p5,14,layer_14,pairwise,feature_listing,0.5344691814605861,0.43500980734825134,0.0234375,0.1171875,-0.09632386639714241,,,
taskvec_a0p5,14,layer_14,__mean__,__mean__,0.545052257790421,0.5304479400316874,0.04296875,0.18359375,-0.08676643467818697,0.028056561946868896,0.9029108285903931,-0.8748542666435242
taskvec_a0p5,15,layer_15,triplet,pairwise,0.4338596183004367,0.4335179626941681,0.0390625,0.2109375,-0.11222813278436661,,,
taskvec_a0p5,15,layer_15,triplet,feature_listing,0.6927741827235505,0.7950571775436401,0.10546875,0.2890625,-0.042857623659074306,,,
taskvec_a0p5,15,layer_15,pairwise,feature_listing,0.5205820009981837,0.4617375433444977,0.04296875,0.19921875,-0.09509217459708452,,,
taskvec_a0p5,15,layer_15,__mean__,__mean__,0.5490719340073903,0.5634375611941019,0.0625,0.23307291666666666,-0.08339264368017514,0.03001381829380989,0.9204666614532471,-0.8904528431594372
taskvec_a0p5,16,layer_16,triplet,pairwise,0.5667894688532696,0.6979782581329346,0.1875,0.53515625,-0.04922053962945938,,,
taskvec_a0p5,16,layer_16,triplet,feature_listing,0.705951193595079,0.8826844692230225,0.15625,0.5234375,-0.03248987230472267,,,
taskvec_a0p5,16,layer_16,pairwise,feature_listing,0.562855293175287,0.7381225228309631,0.1015625,0.48828125,-0.06377464160323143,,,
taskvec_a0p5,16,layer_16,__mean__,__mean__,0.6118653185412118,0.7729284167289734,0.1484375,0.515625,-0.04849501784580449,0.0631428137421608,0.9093047380447388,-0.846161924302578
taskvec_a0p5,17,layer_17,triplet,pairwise,0.6287939285636668,0.7716153860092163,0.27734375,0.71875,-0.028109507635235786,,,
taskvec_a0p5,17,layer_17,triplet,feature_listing,0.746562152184431,0.9135610461235046,0.125,0.48828125,-0.03979213745333254,,,
taskvec_a0p5,17,layer_17,pairwise,feature_listing,0.6020885709964517,0.7835231423377991,0.109375,0.51171875,-0.05446510203182697,,,
taskvec_a0p5,17,layer_17,__mean__,__mean__,0.6591482172481832,0.82289985815684,0.17057291666666666,0.5729166666666666,-0.040788915706798434,0.07420817017555237,0.9083800911903381,-0.8341719210147858
taskvec_a0p5,18,layer_18,triplet,pairwise,0.6598806135239627,0.8284952640533447,0.43359375,0.91015625,-0.006860608235001564,,,
taskvec_a0p5,18,layer_18,triplet,feature_listing,0.7247116506655917,0.9056925177574158,0.09375,0.5546875,-0.05697795748710632,,,
taskvec_a0p5,18,layer_18,pairwise,feature_listing,0.5613010619897627,0.802696943283081,0.109375,0.57421875,-0.04861279157921672,,,
taskvec_a0p5,18,layer_18,__mean__,__mean__,0.648631108726439,0.8456282416979471,0.21223958333333334,0.6796875,-0.0374837857671082,0.09384240955114365,0.8926162123680115,-0.7987738028168678
taskvec_a0p5,19,layer_19,triplet,pairwise,0.6483586284306931,0.8154789805412292,0.609375,0.99609375,0.012579717673361301,,,
taskvec_a0p5,19,layer_19,triplet,feature_listing,0.6071741528933801,0.8047139644622803,0.02734375,0.45703125,-0.09031454473733902,,,
taskvec_a0p5,19,layer_19,pairwise,feature_listing,0.5571475925824908,0.7986958026885986,0.09765625,0.5625,-0.05237527843564749,,,
taskvec_a0p5,19,layer_19,__mean__,__mean__,0.6042267913021879,0.8062962492307028,0.24479166666666666,0.671875,-0.04337003516654173,0.10482701659202576,0.8771868348121643,-0.7723598182201385
taskvec_a0p5,20,layer_20,triplet,pairwise,0.6527695123975638,0.843738317489624,0.56640625,0.99609375,0.005956528941169381,,,
taskvec_a0p5,20,layer_20,triplet,feature_listing,0.6473282461312604,0.8679690361022949,0.015625,0.53515625,-0.07238488364964724,,,
taskvec_a0p5,20,layer_20,pairwise,feature_listing,0.5251127048649226,0.8004682064056396,0.1171875,0.62890625,-0.036460410337895155,,,
taskvec_a0p5,20,layer_20,__mean__,__mean__,0.6084034877979155,0.8373918533325195,0.23307291666666666,0.7200520833333334,-0.03429625501545767,0.10658924281597137,0.8888950347900391,-0.7823057919740677
taskvec_a0p5,21,layer_21,triplet,pairwise,0.6433728062779054,0.8380523920059204,0.56640625,0.98828125,0.006461016600951552,,,
taskvec_a0p5,21,layer_21,triplet,feature_listing,0.6104235467281623,0.8388314843177795,0.01953125,0.453125,-0.0807600524276495,,,
taskvec_a0p5,21,layer_21,pairwise,feature_listing,0.5106022168163075,0.7984599471092224,0.14453125,0.625,-0.03161640651524067,,,
taskvec_a0p5,21,layer_21,__mean__,__mean__,0.5881328566074585,0.8251146078109741,0.24348958333333334,0.6888020833333334,-0.03530514744731287,0.10440684109926224,0.890705406665802,-0.7862985655665398
taskvec_a0p5,22,layer_22,triplet,pairwise,0.6630221878766641,0.8835157155990601,0.62109375,0.99609375,0.01095227524638176,,,
taskvec_a0p5,22,layer_22,triplet,feature_listing,0.6447775958019308,0.8756338953971863,0.0078125,0.6015625,-0.06802978739142418,,,
taskvec_a0p5,22,layer_22,pairwise,feature_listing,0.5234450935649854,0.8394353985786438,0.1640625,0.71484375,-0.022646247874945402,,,
taskvec_a0p5,22,layer_22,__mean__,__mean__,0.6104149590811935,0.86619500319163,0.2643229166666667,0.7708333333333334,-0.026574586673329275,0.13683272898197174,0.8546685576438904,-0.7178358286619186
taskvec_a0p5,23,layer_23,triplet,pairwise,0.6174755017219786,0.8974775671958923,0.64453125,0.99609375,0.013374433852732182,,,
taskvec_a0p5,23,layer_23,triplet,feature_listing,0.5743647128149897,0.8718927502632141,0.01171875,0.59375,-0.07114525884389877,,,
taskvec_a0p5,23,layer_23,pairwise,feature_listing,0.45402181067590475,0.8340606689453125,0.21484375,0.75,-0.019386705942451954,,,
taskvec_a0p5,23,layer_23,__mean__,__mean__,0.5486206750709576,0.867810328801473,0.2903645833333333,0.7799479166666666,-0.02571917697787285,0.14606086909770966,0.854552686214447,-0.7084918171167374
taskvec_a0p5,24,layer_24,triplet,pairwise,0.5893274909091392,0.9038707613945007,0.67578125,0.99609375,0.014292951673269272,,,
taskvec_a0p5,24,layer_24,triplet,feature_listing,0.5440211648608364,0.8740233182907104,0.0078125,0.58984375,-0.06707734055817127,,,
taskvec_a0p5,24,layer_24,pairwise,feature_listing,0.42163651766434845,0.8270726203918457,0.23046875,0.77734375,-0.01748418901115656,,,
